breadth,ic,alpha,cost_bps,excess_net,se,sharpe_net,sharpe_gross,excess_vs_rebal,turnover,ic_achieved,n,t
10,0.1,0.1,50.0,-0.012508537603558073,0.0028103639580256672,0.5081438007239693,0.53792157670413,-0.004252453946936566,0.03670639783824812,0.09184663253464201,40,-4.450860383345349
10,0.1,0.2,0.0,0.033782191662558504,0.003397439626568781,0.5544345299900859,0.5544345299900859,0.03290929103167585,0.07485118778760126,0.09184663253464201,40,9.943426631741673
10,0.1,0.2,10.0,0.02164669105617812,0.0034149732040527803,0.5422990293837054,0.5544345299900859,0.02259956770938463,0.07485118778760126,0.09184663253464201,40,6.33875868498427
10,0.1,0.2,25.0,0.0034432844886110843,0.0034460135267625966,0.5240956228161384,0.5544345299900859,0.007134845580236473,0.07485118778760126,0.09184663253464201,40,0.9992080593618342
10,0.1,0.2,50.0,-0.026896051945978848,0.0035100046152134238,0.49375628638154845,0.5544345299900859,-0.018639968289357343,0.07485118778760126,0.09184663253464201,40,-7.662682786627461
10,0.1,0.35,0.0,0.058697344169422586,0.00417304083324262,0.57934968249695,0.57934968249695,0.05782444353853994,0.13541392111312325,0.09184663253464201,40,14.065844671788748
10,0.1,0.35,10.0,0.03678216590988735,0.004188688483864972,0.5574345042374147,0.57934968249695,0.03773504256309386,0.13541392111312325,0.09184663253464201,40,8.781308529286438
10,0.1,0.35,25.0,0.003908824135570051,0.0042247799808019385,0.5245611624630974,0.57934968249695,0.00760038522719544,0.13541392111312325,0.09184663253464201,40,0.9252136568844672
10,0.1,0.35,50.0,-0.05088095106489242,0.004317562633507702,0.4697713872626349,0.57934968249695,-0.042624867408270914,0.13541392111312325,0.09184663253464201,40,-11.784646890821222
10,0.1,0.5,0.0,0.08330689880106265,0.0048807683602140415,0.60395923712859,0.60395923712859,0.08243399817018,0.20094919798322305,0.09184663253464201,40,17.068398385824914
10,0.1,0.5,10.0,0.05085886302793001,0.004890532801461135,0.5715112013554573,0.60395923712859,0.05181173968113652,0.20094919798322305,0.09184663253464201,40,10.39945238946869
10,0.1,0.5,25.0,0.0021852499982007315,0.004928047224290645,0.522837588325728,0.60395923712859,0.0058768110898261205,0.20094919798322305,0.09184663253464201,40,0.44343122107870664
10,0.1,0.5,50.0,-0.07893907064495692,0.00504975934040678,0.44171326768257047,0.60395923712859,-0.07068298698833542,0.20094919798322305,0.09184663253464201,40,-15.632244097913395
10,0.1,0.75,0.0,0.12268125709593211,0.006075230800018284,0.6433335954234594,0.6433335954234594,0.12180835646504946,0.3252881263254122,0.09184663253464201,40,20.193678418861534
10,0.1,0.75,10.0,0.07041014200231449,0.0060783058293938765,0.5910624803298419,0.6433335954234594,0.071363018655521,0.3252881263254122,0.09184663253464201,40,11.583843258070436
10,0.1,0.75,25.0,-0.00800286958004345,0.006126399700403498,0.5126494687474838,0.6433335954234594,-0.00431130848841806,0.3252881263254122,0.09184663253464201,40,-1.3062924346115328
10,0.1,0.75,50.0,-0.13869539331503256,0.00631899978436937,0.3819569450124948,0.6433335954234594,-0.13043930965841105,0.3252881263254122,0.09184663253464201,40,-21.948947309368236
10,0.1,1.0,0.0,0.15974920426404174,0.007499243104210439,0.680401542591569,0.680401542591569,0.15887630363315908,0.4788640148978339,0.09184663253464201,40,21.30204369216285
10,0.1,1.0,10.0,0.0833379054930894,0.007500797959921328,0.6039902438206167,0.680401542591569,0.08429078214629591,0.4788640148978339,0.09184663253464201,40,11.11053863047439
10,0.1,1.0,25.0,-0.031301841732194184,0.0075726298458843,0.48935049659533314,0.680401542591569,-0.027610280640568797,0.4788640148978339,0.09184663253464201,40,-4.133549687392502
10,0.1,1.0,50.0,-0.22238472594562136,0.007871741270190198,0.29826761238190597,0.680401542591569,-0.21412864228899986,0.4788640148978339,0.09184663253464201,40,-28.251020747820903
10,0.2,0.0,0.0,0.0,0.0,0.5206523383275273,0.5206523383275273,-0.0008729006308826516,3.4808491448009196e-17,0.18182056447184997,40,0.0
10,0.2,0.0,10.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.0009528766532065101,3.4808491448009196e-17,0.18182056447184997,40,0.0
10,0.2,0.0,25.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.0036915610916253895,3.4808491448009196e-17,0.18182056447184997,40,0.0
10,0.2,0.0,50.0,0.0,0.0,0.5206523383275273,0.5206523383275273,0.008256083656621508,3.4808491448009196e-17,0.18182056447184997,40,0.0
10,0.2,0.025,0.0,0.00866194947565236,0.0019385770349852566,0.5293142878031797,0.5293142878031797,0.007789048844769708,0.009095255757204164,0.18182056447184997,40,4.468199777120663
10,0.2,0.025,10.0,0.007185639263503099,0.0019412491596667893,0.5278379775910305,0.5293142878031797,0.008138515916709608,0.009095255757204164,0.18182056447184997,40,3.7015543459328515
10,0.2,0.025,25.0,0.004971175696373883,0.0019453655034764117,0.5256235140239012,0.5293142878031797,0.008662736787999272,0.009095255757204164,0.18182056447184997,40,2.5553941855606466
10,0.2,0.025,50.0,0.0012804078763640789,0.0019525124715470523,0.5219327462038914,0.5293142878031797,0.009536491532985586,0.009095255757204164,0.18182056447184997,40,0.6557744931327181
10,0.2,0.05,0.0,0.017320031311055955,0.002264066179902498,0.5379723696385833,0.5379723696385833,0.016447130680173304,0.018220032592830202,0.18182056447184997,40,7.649966889131236
10,0.2,0.05,10.0,0.014363072580580675,0.0022698579093773067,0.535015410908108,0.5379723696385833,0.015315949233787185,0.018220032592830202,0.18182056447184997,40,6.327740834015869
10,0.2,0.05,25.0,0.009927635190808737,0.0022789243333059834,0.5305799735183361,0.5379723696385833,0.013619196282434127,0.018220032592830202,0.18182056447184997,40,4.356281183064532
10,0.2,0.05,50.0,0.0025352424189743687,0.0022950319441938957,0.5231875807465017,0.5379723696385833,0.010791326075595875,0.018220032592830202,0.18182056447184997,40,1.1046654167007006
