,ew_net,po_net,base_net,nom_net,dr_net,dr_net_learn_delta,dr_net_learn_gamma,dr_net_learn_theta,polab_equal_weight,polab_min_variance,polab_max_sharpe,polab_risk_parity
2019-05-03,0.0014392897561892035,0.008475668016130679,0.014414256159761288,0.018866904558149402,0.006395275272778689,0.0036893041259472093,0.0038181209432711907,0.009225398369325774,0.0014392897561892048,-0.00044529258893212346,-0.002023565907669146,0.0007506516994875831
2019-05-10,-0.01824632647030271,-0.007321777121385081,-0.031088527583903826,-0.05149003125846777,-0.009515296706739172,-0.01314163887985036,-0.011267815522332877,-0.020982456454368824,-0.01824632647030271,-0.006992177726170322,-0.008510728572700667,-0.014078402839623628
2019-05-17,-0.005122123577100995,0.007307950754716582,-0.015465291542607298,-0.022048934798530335,-0.0047160294367027,0.00952677391746113,0.009248782961031848,-0.009495526070613648,-0.0051221235771009965,0.007892417471445264,0.006104818788431853,0.00031048675554564255
2019-05-24,-0.006784249678372423,-0.00045832982083803507,-0.009569377947091852,-0.02119223451550954,-0.00049917062030168,0.008257929745311268,0.005563011707589391,-0.007189621875377559,-0.006784249678372423,0.005131283559022371,-0.007806660808960673,-0.0023095402726817224
2019-05-31,-0.027875828162437916,-0.021777931702201603,-0.03418102252704473,-0.007639250024441038,-0.012299988292467454,-0.01866344469037381,-0.0190056105496271,-0.019657411465059452,-0.02787582816243792,-0.012195047381289258,-0.02754050033087483,-0.02350983389552961
2019-06-07,0.04830725849125991,0.043973940341634855,0.030200076276114086,0.06334795859613665,0.0512995334890519,0.043718489743224336,0.04430286460487559,0.04999623457967767,0.048307258491259907,0.04765641628395919,0.055676762125132555,0.04891760959984581
2019-06-14,0.010201119439101685,0.01454071764915469,0.0060461710488417,0.0038086238850234457,0.004624899116569706,0.0062251968882960605,0.008967753044160918,0.014985190650952617,0.010201119439101687,0.005246433582483322,0.008517805081133225,0.009049175091444988
2019-06-21,0.019699410525842308,0.015473466320160686,-0.003460205513710475,0.030717411657195375,0.008996774569197986,0.01221065804779356,0.011793864684615622,0.014786014994442395,0.01969941052584231,0.014813492565732207,0.026584766734945503,0.018457989007469477
2019-06-28,0.003079624646287804,0.003196797388429745,0.02156432694329928,-0.003142632296312545,0.016159322480162455,0.006466791874953347,0.008614066466760939,0.013594111384656259,0.003079624646287805,0.0015022588625332118,-0.009589457698278951,0.001813611823374203
2019-07-05,0.015048836705214869,0.014818217239234575,0.022314409021736238,0.026312915728034986,0.017620993879803277,0.010004952489402556,0.010846922251066546,0.01705874761131335,0.01504883670521487,0.013405237494869139,0.01702421244474704,0.014586284817692897
2019-07-12,0.008430682505931224,0.010739363350347038,0.01594854140704658,-0.002797173741287524,0.015449277138961954,0.0055038279336155765,0.008340486926865573,-0.0007367560413907774,0.008430682505931226,0.007521761088175878,0.021031630030724387,0.007610701190450781
2019-07-19,-0.017037614685051956,-0.017062247049315218,-0.015264527664782517,-0.018631099402108588,-0.011886158992475374,-0.017474711392582335,-0.018270558743977587,-0.013215356244427955,-0.017037614685051956,-0.01391891274093285,-0.005807531491043861,-0.01582709866704229
2019-07-26,0.011867923395525013,0.0002575497886853368,0.023604015904432767,0.022593304469693924,0.010332304283396192,-0.004803562271099798,-0.004682109995460754,0.0054167104396434605,0.01186792339552501,-0.0024325488626026903,0.008713812926090683,0.007424944272464295
2019-08-02,-0.034353065317176815,-0.011398974778722745,-0.028308381045825066,-0.018946461119127796,-0.024133068375763123,-0.01016844748060768,-0.00892013158490362,-0.017833674476822076,-0.034353065317176815,-0.012172216802424099,-0.026983449988420467,-0.028665292631087663
2019-08-09,-0.006780630651253378,0.00537605215098534,-0.011077345330505037,0.003911087980409622,0.00434554551267206,0.008027419166691948,0.0058449190086746535,0.006508553189936688,-0.006780630651253378,0.019331404137245684,0.012669120257159144,0.000499942685221791
2019-08-16,-0.009193011685831793,-0.007347534804046816,0.02741429371057455,0.00732352771323896,-0.01218823778681417,-0.006018844640639433,-0.007546363005387235,-0.0055280929918240206,-0.009193011685831792,0.00017730628472723085,-0.006521751469306402,-0.005976186325944501
2019-08-23,-0.01591225941604187,-0.005596817149179159,-0.01869249361136123,-0.012698691282570729,-0.01132009904076772,-0.005361002987243233,-0.005526915928378768,-0.007681976085561879,-0.015912259416041866,-0.006503570422075829,-0.011503166654476033,-0.012777508834993487
2019-08-30,0.03249195675709547,0.028619232247585884,0.03010264532691842,0.0250431608812538,0.028023349937842314,0.023886704686433738,0.02394515362077245,0.020426268587575142,0.03249195675709547,0.025911404042070887,0.04558337727328912,0.030323413409550668
2019-09-06,0.01740032706620494,0.009633163588521646,0.02165373143603403,0.017517668870402237,0.007481306094726336,0.009543661977700384,0.009321062716287073,0.005541261420160995,0.017400327066204944,0.008584603489697352,0.014476060330762399,0.014592342196815603
2019-09-13,0.02089906971783037,-0.0009531686553622704,0.025743224022772737,0.0031179889077232264,0.006221684751115513,-0.004029660961489051,-0.006607281504309174,-0.007896731863075587,0.02089906971783037,-0.0043583996550054524,-0.026538647420354257,0.013207647938719336
2019-09-20,-0.004561090229274317,0.015709941404704213,-0.004662857305375447,0.0027082921945610163,-6.550150281847342e-05,0.01702465602172818,0.01660557348822691,-0.0019677035261891082,-0.004561090229274317,0.011946259781760664,0.0015140906270658247,0.00021676767083568483
2019-09-27,-0.010806609202730112,4.736016606845552e-05,0.005006199447650023,-0.006934613372284305,-0.010313792459423368,-0.0010198067303928016,-0.0018526836549183382,-0.011461304921217996,-0.01080660920273011,0.001933235083882108,-0.004653797914920746,-0.0077387256311292184
2019-10-04,-0.004273767441318355,-0.004501331103456385,0.03742801718580601,0.009373869187269495,-0.005160303946092289,-0.003416454075445562,-0.0040843936720978136,0.0063108847020171095,-0.004273767441318355,-0.0008824975935491706,0.004009851456388136,-0.002703066795864907
2019-10-11,0.009021531605238647,-0.0024181627072357714,0.04052684560954563,0.0025581989970200987,-0.0013946896924893215,-0.007399008726670918,-0.006012268577053504,-0.003936294411474442,0.009021531605238647,-0.008831900770521303,0.009488469817930497,0.004002487045052648
2019-10-18,0.00441406474276398,0.0015957624066881217,0.0008467043785100536,-0.006922464762798224,0.01666067761605213,0.007431495138721486,0.00832722356805483,0.0084332564670057,0.004414064742763979,-0.0010836813264342871,-0.000476445533402382,0.003304225593686278
2019-10-25,0.016081004049518007,0.001733995877890259,0.04301848109280427,0.01458315866960601,-0.001472806913696974,0.019855339747891276,0.020739692988561223,-0.008820507515629681,0.016081004049518004,0.0036502021826143247,0.0002219258175210851,0.011034642007594027
2019-11-01,0.012992279646060978,0.0025414412817036736,0.037472624091228236,0.025932386740355792,0.00880852773166629,-0.008434278858447709,-0.008531195134055088,0.012427396171373898,0.012992279646060978,-0.0006292681702465244,0.009022014629858202,0.009980824151163893
2019-11-08,0.009849495487108064,-0.014760953666320745,0.0199050393457171,0.008370005451272894,-0.004712423820944741,-0.020141290318291823,-0.01960981639608538,-0.018605970463519517,0.009849495487108065,-0.017085548863895003,0.00923203635117915,0.0012737853295612112
2019-11-15,0.0022459060082750232,0.016457356978798333,0.021603751054932757,0.027696110265550408,0.003246721906475664,0.010321344772962197,0.009452408844224658,0.00786117678220514,0.0022459060082750224,0.012766083567370893,0.015803931471286257,0.005731736242280383
2019-11-22,0.0020234973627044463,0.00011011831129592413,-0.014975916303959296,-0.006451812809443994,0.0038937972955692232,0.00018312249943984189,0.0010965326015869355,0.0010009416278726436,0.0020234973627044463,-0.0013859631619579267,-0.004719201329150248,0.0009624751875406915
2019-11-29,0.006581074979190072,0.009142139935087862,0.02089540721477881,0.013031872592090626,0.010350751567234742,0.007303731677632543,0.007368599945810772,0.017030900269638168,0.006581074979190072,0.008355024042541428,0.008771394117455405,0.006855486363476038
2019-12-06,0.008553613548520505,0.01609868246531619,0.012946679259932491,-0.009821334013186918,0.01740979818863018,0.014121740503984966,0.01467464278531867,0.008933769858120272,0.008553613548520505,0.009305146471822089,-0.0014482342508096487,0.008737266389898862
2019-12-13,0.01128940534031047,0.014430289212774007,0.016401314728700114,0.00594857773844342,0.01552856225737774,0.01749060050286135,0.017447400520006404,0.016417064174018753,0.011289405340310471,0.012739617785611345,0.013616329679982053,0.010878270117519061
2019-12-20,0.013861878136844741,0.014969208268441203,0.01559149536587648,0.007087991663034506,0.0016285037517284788,0.022437331472566005,0.02464308114378637,0.004617605120536258,0.013861878136844741,0.01222507391415874,0.012560845768787698,0.013449079217387982
2019-12-27,0.008555519316519733,0.01036023076537429,0.03707414531127387,0.030183948420656637,0.018825822309191026,0.007997729558593859,0.008057750398347559,0.030787193412674108,0.008555519316519733,0.007387915139054412,0.012005709380879519,0.008136136956597472
2020-01-03,0.0013190908111141207,0.001394597932941026,0.02632850069087068,0.029650936234798798,0.005527161522043061,-0.006793321973891474,-0.006915960962507295,0.009968871475374527,0.001319090811114121,-0.000136347969313823,0.00039895286608512966,0.0002813438394298042
2020-01-10,-0.0005446973534692931,0.005026523649411716,0.04337154544508084,0.014342592293718308,0.005979376697117377,-0.006339658119707191,-0.0067992617375229655,0.018263357715968237,-0.0005446973534692923,-0.0005835018544732892,0.01570896341167419,-0.00045985894360008744
2020-01-17,0.014354222795354116,0.019862933125607347,0.027067958841501007,0.020038775120342522,0.020186398113903464,0.023664211863705584,0.02289732204893799,0.018512734091228535,0.014354222795354117,0.022304601482165957,0.031201383392206947,0.016681483567573756
2020-01-24,-0.010073572824855527,0.0005674878199956488,-0.0013177317920514892,0.00333576055209074,-0.013121649739224223,0.007049733717335173,0.005443451173908648,0.00370243092671822,-0.010073572824855527,0.010150529069713244,0.004637088848011779,-0.003807455607098707
2020-01-31,-0.01320115446781544,-0.0019406651673498233,-0.027646004228880534,0.002641442950601149,0.0012704809521110264,0.0019430262761014633,-0.001713954110026664,0.011817722206172998,-0.013201154467815442,0.0006473461293204613,0.005294268129681284,-0.008646840498890276
2020-02-07,0.021051129924120306,0.012494122012110854,0.036477010510344895,0.030179001111878857,0.014235288935719563,0.0024629718166774284,0.003521431239132407,0.012888120792663228,0.021051129924120303,-0.000644162128862903,0.030637467122731264,0.014947471042958748
2020-02-14,0.004337340382553095,0.013327658601120288,0.015373558194811555,0.007190603863831394,0.012271378900745158,0.008219569081833827,0.009074175944859509,0.01679539718151883,0.004337340382553095,0.007089711586088388,0.011717449665783197,0.004182202017080803
2020-02-21,-0.00820262673425905,-0.004975310914103192,-0.03662101591339408,-0.027126355404445194,0.012472798018655492,0.004571515182626589,0.002440796814550837,0.02959954985106173,-0.00820262673425905,0.007678619659366824,-0.0030793106199294255,-0.00043489335277078003
2020-02-28,-0.11852031940305269,-0.11609284561870195,-0.12678485778654855,-0.12456908496768127,-0.12315582112305176,-0.11353311429799737,-0.11337445929363893,-0.10946782884621534,-0.11852031940305269,-0.10986266091181185,-0.10931869221743781,-0.11400485928702461
2020-03-06,0.014153362900112387,0.08210515492907289,0.05732367569143548,0.033184219471904405,0.06267923452543273,0.07011909240391762,0.06875953541015187,0.07106728623581793,0.014153362900112388,0.08365135505968604,0.05193692856321186,0.03593927328231375
2020-03-13,-0.10561866602569477,-0.13478835039935283,-0.16710182748095823,-0.05445266296648506,-0.06140098062943798,-0.06331247677317808,-0.058614692096186874,-0.10409389728412231,-0.10561866602569477,-0.0972950931639035,-0.07582438520133367,-0.10026212106951737
2020-03-20,-0.12247699343596823,-0.07869808301361608,-0.17530668770310867,-0.06785152576899714,-0.1125147665321699,-0.06744425437168418,-0.07249378737757109,-0.054013068856939614,-0.12247699343596824,-0.10978340414704511,-0.09809372708694222,-0.1144567326975925
2020-03-27,0.08883067746327314,0.011426167259201817,0.08070144822729411,0.0839390532524269,0.10818049502273311,0.015979500370022173,0.020293489762641035,0.07602061684800926,0.08883067746327314,0.03780406286319529,0.030136558784417667,0.07533658097454757
2020-04-03,0.013785153520813966,-0.00338493875526909,-0.025550978088428565,0.003895899448221093,0.06810818225237597,0.03360648510374147,0.03179777926015905,0.028619543347778293,0.013785153520813965,0.05043070317653749,0.02987708080376701,0.018242457012912085
2020-04-10,0.11387986099001157,0.16777196798396082,0.2646038807033196,0.08532232015787342,0.08400931186441535,0.08391275542168894,0.09301407171704183,0.1108621926021328,0.11387986099001159,0.08168079782973253,0.06714566717127854,0.10472763968152378
2020-04-17,0.022496546123421605,0.07501723027175641,0.055263255556744974,0.12348067464428045,0.09232970349165825,0.05806081447613815,0.0572069258853972,0.1166481019567771,0.022496546123421602,0.0601639604323181,0.07275698836400346,0.03496839524309881
